message_id,channel,text
MSG_001,phone_transcript,"The adjuster called me back within an hour and walked me through everything. Really impressed with how fast this moved."
MSG_002,email,"This is the third time I am emailing about claim CLM_4471 with no response. I am extremely frustrated and considering switching providers."
MSG_003,portal,"Just wanted to confirm the repair shop on Main Street in Hartford is in-network before I drop the car off Monday."
MSG_004,phone_transcript,"Water came through my ceiling during the storm last night. I have photos ready to upload, not sure where the leak started."
MSG_005,email,"Renewal notice looks correct, no changes needed on my end. Thanks for the reminder."
MSG_006,portal,"Why did my premium go up $340 this year? Nothing changed on my policy and I have never filed a claim."
MSG_007,phone_transcript,"Roadside assistance showed up in 20 minutes on I-84 near Hartford, driver was great, tire changed and I was back on the road."
MSG_008,email,"My neighbor's tree fell on my fence during the wind storm on Tuesday. Does my policy cover fence damage from a neighbor's tree?"
MSG_009,portal,"Filed claim CLM_5502 two weeks ago and still have not heard anything. Can someone give me a status update please."
MSG_010,phone_transcript,"I want to say thank you to agent Maria for handling my mother's policy transfer so patiently, she is elderly and gets confused easily."
MSG_011,email,"Absolutely unacceptable that I was on hold for 45 minutes and then got disconnected. This is the worst service experience I have had."
MSG_012,portal,"Quick question, does comprehensive coverage include a cracked windshield or is that a separate glass claim?"
MSG_013,phone_transcript,"Car was stolen from the driveway overnight in Hartford, police report number is HPD-88291, filing a claim now."
MSG_014,email,"Loved how easy the mobile app made it to submit photos for my claim, took less than five minutes total."
MSG_015,portal,"Requesting a copy of my declarations page for my mortgage company, they need it by Friday."
MSG_016,phone_transcript,"The rental car reimbursement only covered half of what I actually paid, I do not understand the math here."
MSG_017,email,"Hartford Mutual has insured my family for over twenty years and I have always felt taken care of, even during the flood claim in 2021."
MSG_018,portal,"Bumper cover cracked in a parking lot fender bender, other driver's insurance already confirmed liability, requesting expedited repair authorization."
